policy,n,targets,risk_mean,risk_gt_0_5,qed_mean,molfast_core_pass,protein_pass,dock_pose_pass,intramol_pass
pb_qed,400,100,0.10387251611068611,0.0375,0.7724687294903332,1.0,0.9875,0.9875,1.0
pb_qed_minus_risk,400,100,0.030810896673674194,0.0,0.7529010437794963,1.0,1.0,1.0,1.0
pb_rc_select,400,100,0.06876398046323678,0.0,0.7666035382374881,1.0,0.9975,0.9975,1.0
qed,400,100,0.10890369724064994,0.04,0.800409264686271,0.6175,0.99,0.61,0.6175
qed_minus_risk,400,100,0.029371340869731588,0.0,0.7811417227229019,0.605,1.0,0.605,0.605
rc_select,400,100,0.0655690178038727,0.0,0.7932332843025813,0.6225,0.9975,0.62,0.6225
