policy,attempted,scored,failures,vina_mean,vina_median,vina_p25,vina_p75,risk_mean,risk_gt_0_5,qed_mean,dock_pose_pass
pb_qed,50,50,0,-6.46578,-6.6145,-7.787,-5.1442499999999995,0.166248364048482,0.14,0.7174559654587077,0.98
pb_rc_select,50,50,0,-6.431220000000001,-6.608499999999999,-7.72675,-5.0765,0.11228854414919934,0.06,0.7046188189803368,1.0
