policy,n,stable_proxy,mean_final_rmsd,mean_contact_retention,mean_min_energy,mean_md_energy,risk_gt_0_5,mean_qed,dock_fast
pb_qed,10,0.9,1.0396375484536906,0.6744465835952079,-78.71882832443355,-79.27712687267633,0.5,0.8308150990885592,1.0
pb_rc_select,10,0.8,1.1024631388409811,0.6021254789178814,-72.156557065257,-74.09546961877352,0.0,0.7609837922156507,1.0
