policy,n,targets,risk_mean,risk_gt_0_5,qed_mean,molfast_core_pass,protein_pass,dock_pose_pass,intramol_pass
pb_qed,200,50,0.0825270002703179,0.02,0.6980678307745771,1.0,1.0,1.0,1.0
pb_qed_minus_risk,200,50,0.03966247307447773,0.0,0.6806764074410205,1.0,1.0,1.0,1.0
pb_rc_select,200,50,0.05878903191966675,0.0,0.6887074966129266,1.0,1.0,1.0,1.0
qed,200,50,0.08636285110393617,0.03,0.716258455720959,0.83,0.995,0.83,0.83
qed_minus_risk,200,50,0.03978059032886565,0.0,0.6983022408908756,0.83,1.0,0.83,0.83
rc_select,200,50,0.057004949123233555,0.0,0.7058589087021545,0.835,1.0,0.835,0.835
