policy,n,target_is_best,mean_margin,median_rank,mean_risk,risk_gt_0_5,mean_qed,dock_fast
plain_pb_rc_qed,6,0.3333333333333333,-0.7843333333333339,3.0,0.06542795230775299,0.0,0.8129843624932055,1.0
plain_pb_rc_lowrisk,6,0.3333333333333333,-0.6663333333333338,4.0,0.03120054892270337,0.0,0.7785154300114581,1.0
selectivity_oracle,6,0.5,0.34783333333333327,1.5,0.1318920721778098,0.0,0.6671495519878601,1.0
selectivity_rc,6,0.5,0.34783333333333327,1.5,0.1318920721778098,0.0,0.6671495519878601,1.0
selectivity_utility,6,0.5,0.34783333333333327,1.5,0.1318920721778098,0.0,0.6671495519878601,1.0
