pool,policy,targets,max_tanimoto_mean,max_tanimoto_median,mean_tanimoto,target_any_dock_fast,risk_mean,qed_mean
BindingMOAD_MolPilot_v50,pb_qed,50,0.10316307264387894,0.09406737053795877,0.06805384988981877,0.08,0.999999999998629,0.6808473673884392
BindingMOAD_MolPilot_v50,pb_qed_minus_risk,50,0.10316307264387894,0.09406737053795877,0.06805384988981877,0.08,0.999999999998629,0.6808473673884392
BindingMOAD_MolPilot_v50,pb_rc_select,50,0.10316307264387894,0.09406737053795877,0.06805384988981877,0.08,0.999999999998629,0.6808473673884392
BindingMOAD_MolPilot_v50,qed,50,0.09984260128035922,0.08924761769307353,0.0662842686647909,0.06,0.9999999999996767,0.6867927706374511
BindingMOAD_MolPilot_v50,qed_minus_risk,50,0.09984260128035922,0.08924761769307353,0.0662842686647909,0.06,0.9999999999996767,0.6867927706374511
BindingMOAD_MolPilot_v50,rc_select,50,0.09984260128035922,0.08924761769307353,0.0662842686647909,0.06,0.9999999999996767,0.6867927706374511
BindingMOAD_PocketFlow_v100,pb_qed,100,0.04889562017752212,0.043478260869565216,0.025019842859837563,0.5,0.982645845611954,0.678676569030621
BindingMOAD_PocketFlow_v100,pb_qed_minus_risk,100,0.048104220504556955,0.04081632653061224,0.023347112593809876,0.61,0.9066142772608431,0.659858787701182
BindingMOAD_PocketFlow_v100,pb_rc_select,100,0.048104220504556955,0.04081632653061224,0.023347112593809876,0.61,0.9070261493008017,0.6600445903980683
BindingMOAD_PocketFlow_v100,qed,100,0.06004024917623551,0.056338028169014086,0.031043984623326824,0.36,0.9821570135365344,0.714463899406163
BindingMOAD_PocketFlow_v100,qed_minus_risk,100,0.06021825982766086,0.05555555555555555,0.029696499412397877,0.51,0.8955164351500692,0.6899004419651519
BindingMOAD_PocketFlow_v100,rc_select,100,0.06021825982766086,0.05555555555555555,0.029696499412397877,0.51,0.8959283071900279,0.6900862446620382
DiffSBDD_official,pb_qed,100,0.16595704952405307,0.15370847651775488,0.09479946496727594,0.99,0.4205177074572985,0.7345263120512001
DiffSBDD_official,pb_qed_minus_risk,100,0.1712051220403052,0.15936507936507938,0.09696915744340806,1.0,0.1192321927154008,0.6595727245927899
DiffSBDD_official,pb_rc_select,100,0.17468225928409456,0.16666666666666666,0.09708378756448811,1.0,0.13598516116474477,0.6586009699000787
DiffSBDD_official,qed,100,0.16616990754451003,0.15133897110641298,0.09335927950190466,0.98,0.44046776446217334,0.7579579653064592
DiffSBDD_official,qed_minus_risk,100,0.17129892968382923,0.15873015873015872,0.0958046725348807,1.0,0.10614298896855295,0.6835059663858474
DiffSBDD_official,rc_select,100,0.16814192351252444,0.15785960618533762,0.095347811670345,1.0,0.1292022845856639,0.6873401397035706
PocketFlow_CrossDock,pb_qed,100,0.12488843630916117,0.12125037125037125,0.08881081010582363,1.0,0.5966967125447066,0.7061259111189334
PocketFlow_CrossDock,pb_qed_minus_risk,100,0.12430188969336115,0.12125037125037125,0.08538918094218369,1.0,0.30024278721564973,0.6046946836805982
PocketFlow_CrossDock,pb_rc_select,100,0.12361102155571305,0.12014105297687387,0.08522440634166024,1.0,0.290975970124796,0.5879819287376853
PocketFlow_CrossDock,qed,100,0.1287742920031951,0.12414383561643835,0.09135481998459342,0.96,0.6155848710794211,0.7418524271390816
PocketFlow_CrossDock,qed_minus_risk,100,0.1268375094578592,0.125,0.08751468791593328,1.0,0.22711143014482146,0.6099954556140199
PocketFlow_CrossDock,rc_select,100,0.12456760851771183,0.11922530206112295,0.08736221984511809,1.0,0.22320675343674282,0.5932200309350989
