ligand_target,ligand_mol_index,target_score,best_offtarget_score,selectivity_margin,target_rank,target_is_best,ligand_risk,ligand_qed,dock_pose_pass,mol_pred,mol_cond
AKT1,76,-10.11,-8.6,1.5099999999999998,1,True,0.0079813817391241,0.8157892410795142,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10_3o96_A_rec_3o96_iqo_lig_tt_docked_2__m076.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/AKT1_HUMAN_1_137_0/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10.pdb
AKT1,80,-11.292,-10.215,1.077,1,True,0.0509812370103692,0.7311088417594609,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10_3o96_A_rec_3o96_iqo_lig_tt_docked_2__m080.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/AKT1_HUMAN_1_137_0/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10.pdb
AKT1,91,-10.018,-8.782,1.2360000000000007,1,True,0.0023286517652389,0.6355557060312981,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10_3o96_A_rec_3o96_iqo_lig_tt_docked_2__m091.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/AKT1_HUMAN_1_137_0/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10.pdb
CDK6-2F2C,11,-6.379,-8.186,-1.8070000000000004,9,False,0.0122458634866112,0.8395927335762975,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m011.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb
CDK6-2F2C,23,-8.591,-10.759,-2.168000000000001,6,False,0.1659434895136913,0.8122611460423154,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m023.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb
CDK6-2F2C,30,-8.165,-9.61,-1.4450000000000003,6,False,0.0691556507369065,0.7953676997698315,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m030.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb
CDK6-2F2C,34,-10.415,-11.564,-1.149000000000001,4,False,0.1372548473912187,0.9031886957438264,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m034.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb
CDK6-2F2C,61,-7.157,-8.366,-1.2089999999999996,6,False,0.0393249151344701,0.8125162605910573,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m061.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb
CDK6-2F2C,68,-6.243,-7.0,-0.7569999999999997,8,False,0.0082916758480461,0.8354779397632573,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m068.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb
CDK6-2F2C,86,-7.92,-9.826,-1.9060000000000006,7,False,0.0333668017973998,0.9020253902448035,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m086.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb
CDK6-2F2C,88,-7.576,-8.562,-0.9859999999999998,6,False,0.0370686979387972,0.8437811446590481,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10_2f2c_B_rec_1xo2_fse_lig_tt_min_0__m088.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/2f2c_B_rec_1xo2_fse_lig_tt_min_0_pocket10.pdb
CDK6-4AUA,8,-7.684,-8.766,-1.0819999999999999,6,False,0.0272154344117191,0.9275584997853924,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m008.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb
CDK6-4AUA,9,-8.098,-9.247,-1.1489999999999991,4,False,0.0714980625329981,0.7820528727262331,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10_4aua_A_rec_4aua_4au_lig_it2_tt_docked_7__m009.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CDK6_HUMAN_1_312_0/4aua_A_rec_4aua_4au_lig_it2_tt_docked_7_pocket10.pdb
