targets,covered_targets,coverage,dock_fast,failure,risk_gt_0_5,qed,mode,threshold,setting,seed,policy
20,20,1.0,1.0,0.0,0.0,0.5694593242393717,fixed_top1,,DiffSBDD_target_heldout,20260529,pb_rc
20,20,1.0,1.0,0.0,0.0,0.5694593242393717,selective_alpha10,0.9496277353251659,DiffSBDD_target_heldout,20260529,pb_rc
20,20,1.0,1.0,0.0,0.05,0.6906489078482949,fixed_top1,,DiffSBDD_target_heldout,20260529,pb_lambdamart
20,18,0.9,1.0,0.0,0.0,0.6998706796000898,selective_alpha10,6.949593671357625,DiffSBDD_target_heldout,20260529,pb_lambdamart
20,20,1.0,1.0,0.0,0.0,0.6925511303482492,fixed_top1,,DiffSBDD_target_heldout,20260529,constrained_lambdamart
20,18,0.9,1.0,0.0,0.0,0.6998706796000898,selective_alpha10,6.949593671357625,DiffSBDD_target_heldout,20260529,constrained_lambdamart
20,20,1.0,1.0,0.0,0.05,0.6257054446642208,fixed_top1,,DiffSBDD_target_heldout,20260529,pb_xgbrank
20,18,0.9,1.0,0.0,0.0,0.6277112760622298,selective_alpha10,2.813182830810547,DiffSBDD_target_heldout,20260529,pb_xgbrank
20,20,1.0,1.0,0.0,0.0,0.6276076671641752,fixed_top1,,DiffSBDD_target_heldout,20260529,constrained_xgbrank
20,18,0.9,1.0,0.0,0.0,0.6277112760622298,selective_alpha10,2.813182830810547,DiffSBDD_target_heldout,20260529,constrained_xgbrank
12,12,1.0,1.0,0.0,0.08333333333333333,0.4642648449208027,fixed_top1,,Pocket2Mol_target_heldout,20260525,pb_rc
12,11,0.9166666666666666,1.0,0.0,0.0,0.4652188968063388,selective_alpha10,0.0738371831340574,Pocket2Mol_target_heldout,20260525,pb_rc
12,12,1.0,1.0,0.0,0.16666666666666666,0.5159824940566545,fixed_top1,,Pocket2Mol_target_heldout,20260525,pb_lambdamart
12,12,1.0,1.0,0.0,0.16666666666666666,0.5159824940566545,selective_alpha10,-1.1567895310434295,Pocket2Mol_target_heldout,20260525,pb_lambdamart
12,12,1.0,1.0,0.0,0.08333333333333333,0.497131398888234,fixed_top1,,Pocket2Mol_target_heldout,20260525,constrained_lambdamart
12,12,1.0,1.0,0.0,0.08333333333333333,0.497131398888234,selective_alpha10,-1.1567895310434295,Pocket2Mol_target_heldout,20260525,constrained_lambdamart
12,12,1.0,1.0,0.0,0.5833333333333334,0.4471071113143084,fixed_top1,,Pocket2Mol_target_heldout,20260525,pb_xgbrank
12,12,1.0,1.0,0.0,0.5833333333333334,0.4471071113143084,selective_alpha10,0.2936083972454071,Pocket2Mol_target_heldout,20260525,pb_xgbrank
12,12,1.0,1.0,0.0,0.08333333333333333,0.4560459512128685,fixed_top1,,Pocket2Mol_target_heldout,20260525,constrained_xgbrank
12,12,1.0,1.0,0.0,0.08333333333333333,0.4560459512128685,selective_alpha10,0.2936083972454071,Pocket2Mol_target_heldout,20260525,constrained_xgbrank
12,12,1.0,1.0,0.0,0.0,0.48010313792142506,fixed_top1,,Pocket2Mol_target_heldout,20260526,pb_rc
12,10,0.8333333333333334,1.0,0.0,0.0,0.4841368154391609,selective_alpha10,0.7501407485970001,Pocket2Mol_target_heldout,20260526,pb_rc
12,12,1.0,1.0,0.0,0.16666666666666666,0.4888605161340456,fixed_top1,,Pocket2Mol_target_heldout,20260526,pb_lambdamart
12,12,1.0,1.0,0.0,0.16666666666666666,0.4888605161340456,selective_alpha10,4.81750675131108,Pocket2Mol_target_heldout,20260526,pb_lambdamart
12,12,1.0,1.0,0.0,0.08333333333333333,0.5318418617337333,fixed_top1,,Pocket2Mol_target_heldout,20260526,constrained_lambdamart
12,12,1.0,1.0,0.0,0.08333333333333333,0.5318418617337333,selective_alpha10,4.81750675131108,Pocket2Mol_target_heldout,20260526,constrained_lambdamart
12,12,1.0,1.0,0.0,0.5,0.4455335472155828,fixed_top1,,Pocket2Mol_target_heldout,20260526,pb_xgbrank
12,11,0.9166666666666666,1.0,0.0,0.5454545454545454,0.45341048230558095,selective_alpha10,2.7645769119262695,Pocket2Mol_target_heldout,20260526,pb_xgbrank
12,12,1.0,1.0,0.0,0.08333333333333333,0.45085717698088396,fixed_top1,,Pocket2Mol_target_heldout,20260526,constrained_xgbrank
12,11,0.9166666666666666,1.0,0.0,0.09090909090909091,0.42816517661560083,selective_alpha10,2.7645769119262695,Pocket2Mol_target_heldout,20260526,constrained_xgbrank
12,12,1.0,1.0,0.0,0.0,0.48061236482828124,fixed_top1,,Pocket2Mol_target_heldout,20260527,pb_rc
12,12,1.0,1.0,0.0,0.0,0.48061236482828124,selective_alpha10,0.00692539635166578,Pocket2Mol_target_heldout,20260527,pb_rc
12,12,1.0,1.0,0.0,0.25,0.542154180265061,fixed_top1,,Pocket2Mol_target_heldout,20260527,pb_lambdamart
12,12,1.0,1.0,0.0,0.25,0.542154180265061,selective_alpha10,2.752089115996805,Pocket2Mol_target_heldout,20260527,pb_lambdamart
12,12,1.0,1.0,0.0,0.0,0.5545732398655169,fixed_top1,,Pocket2Mol_target_heldout,20260527,constrained_lambdamart
12,12,1.0,1.0,0.0,0.0,0.5545732398655169,selective_alpha10,2.752089115996805,Pocket2Mol_target_heldout,20260527,constrained_lambdamart
12,12,1.0,1.0,0.0,0.25,0.5322729837265106,fixed_top1,,Pocket2Mol_target_heldout,20260527,pb_xgbrank
12,12,1.0,1.0,0.0,0.25,0.5322729837265106,selective_alpha10,1.9872312545776367,Pocket2Mol_target_heldout,20260527,pb_xgbrank
12,12,1.0,1.0,0.0,0.0,0.5146654780047081,fixed_top1,,Pocket2Mol_target_heldout,20260527,constrained_xgbrank
12,12,1.0,1.0,0.0,0.0,0.5146654780047081,selective_alpha10,1.9872312545776367,Pocket2Mol_target_heldout,20260527,constrained_xgbrank
12,12,1.0,1.0,0.0,0.0,0.5291622978023621,fixed_top1,,Pocket2Mol_target_heldout,20260528,pb_rc
