policy,k,threshold,n,targets,risk_mean,risk_median,risk_gt_0_5,qed_mean,molfast_core_pass,intramol_pass,protein_pass,dock_pose_pass,protein-ligand_maximum_distance,minimum_distance_to_protein,volume_overlap_with_protein
pb_qed,4,p95,193,50,0.18493418903459638,0.0700942356409203,0.14507772020725387,0.5978717855934206,1.0,1.0,0.9326424870466321,0.9326424870466321,1.0,0.9326424870466321,0.9948186528497409
pb_qed_minus_risk,4,p95,193,50,0.11646535794347995,0.0528292763676249,0.046632124352331605,0.5738815126820435,1.0,1.0,0.9740932642487047,0.9740932642487047,1.0,0.9740932642487047,1.0
pb_rc_select,4,p95,193,50,0.11673263842943317,0.0603727780784859,0.04145077720207254,0.5696299650466127,1.0,1.0,0.9637305699481865,0.9637305699481865,1.0,0.9637305699481865,1.0
qed,4,p95,200,50,0.1670996609864602,0.0569554685120313,0.13,0.6682371546134382,0.525,0.525,0.925,0.485,1.0,0.925,0.995
qed_minus_risk,4,p95,200,50,0.05589367359487103,0.0284165898692608,0.0,0.6350942467346102,0.495,0.495,0.99,0.485,1.0,0.99,1.0
rc_select,4,p95,200,50,0.06983145289673466,0.033772008321891145,0.0,0.6382004117034683,0.5,0.5,0.98,0.485,1.0,0.98,1.0
