source,policy,attempted,scored,success_rate,cnnscore_mean,cnnaffinity_mean,affinity_mean,dock_pose_pass,risk_gt_0_5,qed_mean
PocketFlow-CrossDock-T100,pb_qed,100,100,1.0,0.3357231999999999,4.332644299999999,-4.7689070000000005,0.85,0.57,0.7934247656053546
PocketFlow-CrossDock-T100,pb_qed_minus_risk,100,100,1.0,0.34188949999999996,4.2567054,-5.294434899999999,0.99,0.32,0.7595881876990443
PocketFlow-CrossDock-T100,pb_rc_select,100,100,1.0,0.34142659999999997,4.2271115,-5.253940200000001,0.99,0.29,0.747620533982386
PocketFlow-CrossDock-T100,qed,100,100,1.0,0.3094587,4.3517148,-4.206949700000001,0.6,0.61,0.8169698045697362
PocketFlow-CrossDock-T100,qed_minus_risk,100,100,1.0,0.352323,4.408780500000001,-5.3988216000000016,0.74,0.19,0.7538874171679519
PocketFlow-CrossDock-T100,rc_select,100,100,1.0,0.3571776,4.4387428,-5.5547068,0.73,0.16,0.7438605049650373
