source,n,orig_risk,residue_deleted_risk_n,residue_deleted_risk_mean,residue_deleted_risk_delta,residue_deleted_risk_decrease,atom_deleted_risk_n,atom_deleted_risk_mean,atom_deleted_risk_delta,atom_deleted_risk_decrease,contact_masked_risk_n,contact_masked_risk_mean,contact_masked_risk_delta,contact_masked_risk_decrease,close_residues_mean,close_lig_atoms_mean,failures
DiffSBDD-fullpool,100,0.9999810007934691,100,0.9956644636922679,-0.004316537101201145,0.95,98,0.9994416203703159,-0.0005389926842445216,0.9795918367346939,100,0.9187873403167562,-0.08119366047671271,1.0,1.5,2.65,0
ExpDiff-100,100,0.9922085889087485,100,0.981315739038934,-0.010892849869814494,0.76,100,0.9809644230556106,-0.011244165853137991,0.84,100,0.9740561893037846,-0.018152399604963853,0.8,1.0,1.0,0
MolCRAFT-100,100,0.9886336839508084,100,0.9820520815383013,-0.006581602412507106,0.68,100,0.9813997012065963,-0.007233982744211929,0.71,100,0.9664983711543351,-0.02213531279647306,0.8,1.0,1.0,0
PocketFlow,100,0.999520618686416,100,0.9983460916937767,-0.0011745269926394164,0.86,100,0.9982915280235443,-0.0012290906628716902,0.87,100,0.9918496610640498,-0.007670957622366255,0.98,1.0,1.04,0
