source,policy,attempted,redocked,success_rate,cnnscore_mean,cnnscore_median,cnnaffinity_mean,affinity_mean,dock_fast_pass,risk_gt_0_5,qed_mean
ExpDiff-official,pb_qed,400,52,0.13,0.7978878456826924,0.8312581181500001,5.826034133244232,-8.648505384615385,1.0,0.038461538461538464,0.783945482392432
ExpDiff-official,pb_rc_select,400,56,0.14,0.7728076499964286,0.8195877075,5.660507129767857,-8.248237857142858,1.0,0.0,0.7631579394569583
