source,policy,n,targets,unique_smiles,solved_rate,top_score_mean,route_steps_mean,route_steps_median,precursors_in_stock_mean,precursors_total_mean,search_time_mean,risk_mean,risk_gt_0_5,qed_mean,dock_pose_pass
MolPilot,pb_qed,50,50,50,0.2,0.771813874268,4.26,5.0,3.06,3.9,13.671672573087996,0.9999999999998215,1.0,0.7230060403310812,0.02
MolPilot,pb_rc_select,50,50,50,0.2,0.771813874268,4.26,5.0,3.06,3.9,13.671672573087996,0.9999999999998215,1.0,0.7230060403310812,0.02
MolPilot,qed,50,50,50,0.16,0.7627686474080001,4.42,5.0,3.14,4.02,13.788964414595998,0.9999999999998215,1.0,0.724355596194287,0.02
MolPilot,rc_select,50,50,50,0.16,0.7627686474080001,4.42,5.0,3.14,4.02,13.788964414595998,0.9999999999998215,1.0,0.724355596194287,0.02
