block,metric,baseline,method,targets,baseline_mean,method_mean,delta_method_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,cliffs_delta,desired_direction,improves,fdr_q,registry_source,role,hypothesis_family,fdr_q_global_registry
pocketflow_crossdock100,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,positive direct SOTA-output comparator,generator_external,1.0
pocketflow_crossdock100,protein_pass,pb_qed,pb_rc_select,100,0.8425,0.955,0.1125,0.08,0.1475,2.669238465784688e-08,0.3736,higher,True,1.9218516953649754e-07,sota_external,positive direct SOTA-output comparator,generator_external,7.915672691637351e-08
pocketflow_crossdock100,qed,pb_qed,pb_rc_select,100,0.7061259111189334,0.5879819287376854,-0.1181439823812481,-0.134810744299578,-0.1018966387568519,1.838297604931251e-17,-0.673,higher,False,3.3089356888762515e-16,sota_external,positive direct SOTA-output comparator,generator_external,6.845556781786548e-16
pocketflow_crossdock100,risk_gt_0_5,pb_qed,pb_rc_select,100,0.6,0.2075,-0.3925,-0.44,-0.345,2.5966200037201393e-16,-0.67,lower,True,3.115944004464167e-15,sota_external,positive direct SOTA-output comparator,generator_external,1.8609110026660997e-15
pocketflow_crossdock100,risk_prob,pb_qed,pb_rc_select,100,0.5966967125447065,0.290975970124796,-0.3057207424199106,-0.33930263916244,-0.2715042919751627,1.781293897222056e-17,-0.688,lower,True,3.3089356888762515e-16,sota_external,positive direct SOTA-output comparator,generator_external,6.845556781786548e-16
sgediff_crossdock_t50,dock_fast,qed,rc_select,41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,negative recent-SOTA generator-shift stress case,generator_external,1.0
sgediff_crossdock_t50,mol_fast,qed,rc_select,41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,negative recent-SOTA generator-shift stress case,generator_external,1.0
sgediff_crossdock_t50,protein_pass,qed,rc_select,41,0.0426829268292682,0.0426829268292682,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,negative recent-SOTA generator-shift stress case,generator_external,1.0
sgediff_crossdock_t50,qed,qed,rc_select,41,0.2754607866565716,0.2754607866565716,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,negative recent-SOTA generator-shift stress case,generator_external,1.0
sgediff_crossdock_t50,risk_gt_0_5,qed,rc_select,41,1.0,1.0,0.0,0.0,0.0,1.0,0.0,lower,False,1.0,sota_external,negative recent-SOTA generator-shift stress case,generator_external,1.0
sgediff_crossdock_t50,risk_prob,qed,rc_select,41,0.997732591901532,0.997732591901532,0.0,0.0,0.0,1.0,0.0,lower,False,1.0,sota_external,negative recent-SOTA generator-shift stress case,generator_external,1.0
syncguide_t1000_n16,dock_fast,pb_qed,pb_rc_select,50,0.9333333333333332,0.9633333333333332,0.03,0.005,0.06,0.0338948535246892,0.08,higher,True,0.0642218277309901,sota_external,positive recent SOTA-output comparator,generator_external,0.04940605768005544
syncguide_t1000_n16,mol_fast,pb_qed,pb_rc_select,50,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,positive recent SOTA-output comparator,generator_external,1.0
syncguide_t1000_n16,protein_pass,pb_qed,pb_rc_select,50,0.9333333333333332,0.9633333333333332,0.03,0.005,0.06,0.0338948535246892,0.08,higher,True,0.0642218277309901,sota_external,positive recent SOTA-output comparator,generator_external,0.04940605768005544
syncguide_t1000_n16,qed,pb_qed,pb_rc_select,50,0.5975867459925275,0.570333389164858,-0.0272533568276695,-0.0412702640328181,-0.0149976420382769,8.857457687863547e-05,-0.1296,higher,False,0.0002657237306359,sota_external,positive recent SOTA-output comparator,generator_external,0.00017714915375727095
syncguide_t1000_n16,risk_gt_0_5,pb_qed,pb_rc_select,50,0.1416666666666666,0.0416666666666666,-0.1,-0.145,-0.06,0.0002120622229708,-0.2908,lower,True,0.0005872492328423,sota_external,positive recent SOTA-output comparator,generator_external,0.00037219084031609795
syncguide_t1000_n16,risk_prob,pb_qed,pb_rc_select,50,0.1821201498720295,0.116305653538047,-0.0658144963339824,-0.0944623443205609,-0.0388585745584856,7.980221938929199e-05,-0.174,lower,True,0.0002657237306359,sota_external,positive recent SOTA-output comparator,generator_external,0.0001673900211580271
ood_DiffSBDD_official_family_unseen_train,dock_fast,pb_qed,pb_rc_select,93,0.8096774193548388,0.9655913978494624,0.1559139784946236,0.121505376344086,0.1935483870967742,2.4063597624280294e-12,0.5559024164643311,higher,True,8.271861683346351e-12,target_stats,,ood_secondary,1.0891944187832133e-11
ood_DiffSBDD_official_family_unseen_train,mol_fast,pb_qed,pb_rc_select,93,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,ood_secondary,1.0
ood_DiffSBDD_official_family_unseen_train,qed,pb_qed,pb_rc_select,93,0.770655533658018,0.6968545194550663,-0.0738010142029517,-0.0886310880464122,-0.0590121791357271,7.989098714773313e-16,-0.412533240837091,higher,False,3.994549357386656e-15,target_stats,,ood_secondary,4.907589210503606e-15
ood_DiffSBDD_official_family_unseen_train,risk_gt_0_5,pb_qed,pb_rc_select,93,0.3451612903225806,0.0204301075268817,-0.3247311827956989,-0.3677419354838709,-0.2838709677419355,1.3205825274962594e-15,-0.8505029483177245,lower,True,6.052669917691189e-15,target_stats,,ood_secondary,7.571339824311887e-15
ood_DiffSBDD_official_family_unseen_train,risk_prob,pb_qed,pb_rc_select,93,0.3805672634087115,0.1127512910464164,-0.2678159723622951,-0.3011976733794636,-0.2345860950803806,7.989098714773313e-16,-0.7795120823216557,lower,True,3.994549357386656e-15,target_stats,,ood_secondary,4.907589210503606e-15
ood_DiffSBDD_official_generated_scaffold_unseen_train,dock_fast,pb_qed,pb_rc_select,100,0.7873293650793651,0.9647857142857142,0.1774563492063492,0.1370628968253968,0.2209097222222222,1.2379965365449642e-12,0.5504,higher,True,4.539320633998202e-12,target_stats,,ood_secondary,5.9148723412703845e-12
ood_DiffSBDD_official_generated_scaffold_unseen_train,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,ood_secondary,1.0
ood_DiffSBDD_official_generated_scaffold_unseen_train,qed,pb_qed,pb_rc_select,100,0.7667564715920563,0.6873273539832973,-0.079429117608759,-0.0942352315004438,-0.0650235548734941,7.462863988798968e-17,-0.4213,higher,False,6.317321051798186e-16,target_stats,,ood_secondary,7.902394333885731e-16
ood_DiffSBDD_official_generated_scaffold_unseen_train,risk_gt_0_5,pb_qed,pb_rc_select,100,0.3698769841269841,0.0223095238095238,-0.3475674603174603,-0.3921641865079364,-0.3041939484126984,2.460034743500231e-16,-0.8385,lower,True,1.5033545654723634e-15,target_stats,,ood_secondary,1.8609110026660997e-15
ood_DiffSBDD_official_generated_scaffold_unseen_train,risk_prob,pb_qed,pb_rc_select,100,0.4056309359148788,0.1200399857464417,-0.2855909501684372,-0.3215227182560922,-0.2500261591542312,5.5719648223844e-17,-0.7563,lower,True,6.129161304622839e-16,target_stats,,ood_secondary,6.845556781786548e-16
ood_DiffSBDD_official_native_scaffold_unseen_train,dock_fast,pb_qed,pb_rc_select,42,0.8095238095238095,0.9690476190476188,0.1595238095238095,0.1047619047619047,0.219047619047619,1.8317348892296224e-06,0.5487528344671202,higher,True,3.473979962332043e-06,target_stats,,ood_secondary,4.633211778639633e-06
ood_DiffSBDD_official_native_scaffold_unseen_train,mol_fast,pb_qed,pb_rc_select,42,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,ood_secondary,1.0
ood_DiffSBDD_official_native_scaffold_unseen_train,qed,pb_qed,pb_rc_select,42,0.7821911778321704,0.7066370687563739,-0.0755541090757967,-0.0982026869234017,-0.0549267252661399,1.140214479510659e-07,-0.4359410430839002,higher,False,2.239707013324509e-07,target_stats,,ood_secondary,2.971468037512626e-07
ood_DiffSBDD_official_native_scaffold_unseen_train,risk_gt_0_5,pb_qed,pb_rc_select,42,0.3333333333333333,0.0166666666666666,-0.3166666666666667,-0.3833333333333333,-0.2523809523809524,1.0036419017196788e-07,-0.8395691609977324,lower,True,2.190334568396305e-07,target_stats,,ood_secondary,2.87248568617838e-07
ood_DiffSBDD_official_native_scaffold_unseen_train,risk_prob,pb_qed,pb_rc_select,42,0.3672373424391293,0.1060946616362861,-0.2611426808028432,-0.3170028726785222,-0.2086045810614376,1.140214479510659e-07,-0.7375283446712018,lower,True,2.239707013324509e-07,target_stats,,ood_secondary,2.971468037512626e-07
ood_DiffSBDD_official_protein_unseen_train,dock_fast,pb_qed,pb_rc_select,100,0.7979999999999999,0.967,0.169,0.131,0.211,3.470870779561234e-13,0.5652,higher,True,1.3635563776847706e-12,target_stats,,ood_secondary,1.7558522767192124e-12
ood_DiffSBDD_official_protein_unseen_train,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,ood_secondary,1.0
ood_DiffSBDD_official_protein_unseen_train,qed,pb_qed,pb_rc_select,100,0.7653755818589832,0.68673845554119,-0.078637126317793,-0.0930914394840281,-0.0643586011975918,5.5719648223844e-17,-0.4147,higher,False,6.129161304622839e-16,target_stats,,ood_secondary,6.845556781786548e-16
ood_DiffSBDD_official_protein_unseen_train,risk_gt_0_5,pb_qed,pb_rc_select,100,0.357,0.02,-0.337,-0.378,-0.297,9.188830620797362e-17,-0.8599,lower,True,6.317321051798186e-16,target_stats,,ood_secondary,7.902394333885731e-16
ood_DiffSBDD_official_protein_unseen_train,risk_prob,pb_qed,pb_rc_select,100,0.3958543518271245,0.1160954926604467,-0.2797588591666778,-0.3131295423670182,-0.2467785167095606,5.5719648223844e-17,-0.7869,lower,True,6.129161304622839e-16,target_stats,,ood_secondary,6.845556781786548e-16
ood_Pocket2Mol_transfer_family_unseen_train,dock_fast,pb_qed,pb_rc_select,48,0.8125,0.9635416666666666,0.1510416666666666,0.09375,0.2135416666666666,4.34581422585278e-05,0.3854166666666667,higher,True,7.710315561996868e-05,target_stats,,ood_secondary,9.343500585583478e-05
ood_Pocket2Mol_transfer_family_unseen_train,mol_fast,pb_qed,pb_rc_select,48,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,ood_secondary,1.0
ood_Pocket2Mol_transfer_family_unseen_train,qed,pb_qed,pb_rc_select,48,0.5713065229153175,0.5133935010396355,-0.057913021875682,-0.0736353255847367,-0.0429143976788137,7.615942892424528e-09,-0.3967013888888889,higher,False,1.769436444665771e-08,target_stats,,ood_secondary,2.4593379271314155e-08
ood_Pocket2Mol_transfer_family_unseen_train,risk_gt_0_5,pb_qed,pb_rc_select,48,0.5729166666666666,0.1458333333333333,-0.4270833333333333,-0.5,-0.359375,6.933876023799345e-09,-0.7369791666666666,lower,True,1.769436444665771e-08,target_stats,,ood_secondary,2.4593379271314155e-08
ood_Pocket2Mol_transfer_family_unseen_train,risk_prob,pb_qed,pb_rc_select,48,0.5570224973762522,0.2498737711578502,-0.3071487262184019,-0.3586468391193886,-0.2550792137199599,7.615942892424528e-09,-0.7126736111111112,lower,True,1.769436444665771e-08,target_stats,,ood_secondary,2.4593379271314155e-08
ood_Pocket2Mol_transfer_generated_scaffold_unseen_train,dock_fast,pb_qed,pb_rc_select,52,0.8429487179487178,0.96474358974359,0.1217948717948718,0.0641025641025641,0.189102564102564,0.0012623827954031,0.2241124260355029,higher,True,0.0016934403352968,target_stats,,ood_secondary,0.002128723929503267
ood_Pocket2Mol_transfer_generated_scaffold_unseen_train,mol_fast,pb_qed,pb_rc_select,52,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,ood_secondary,1.0
ood_Pocket2Mol_transfer_generated_scaffold_unseen_train,qed,pb_qed,pb_rc_select,52,0.5575744507686915,0.4951740310657049,-0.0624004197029864,-0.0799705853432801,-0.0465739245359783,1.6310100430962223e-09,-0.4312130177514793,higher,False,4.485277618514612e-09,target_stats,,ood_secondary,6.0985592915771795e-09
ood_Pocket2Mol_transfer_generated_scaffold_unseen_train,risk_gt_0_5,pb_qed,pb_rc_select,52,0.5064102564102563,0.1330128205128205,-0.3733974358974358,-0.4615384615384614,-0.2836538461538461,1.0354308868782533e-07,-0.6042899408284024,lower,True,2.190334568396305e-07,target_stats,,ood_secondary,2.87248568617838e-07
ood_Pocket2Mol_transfer_generated_scaffold_unseen_train,risk_prob,pb_qed,pb_rc_select,52,0.5295214868764666,0.2486928167138378,-0.2808286701626288,-0.3452967273179126,-0.2176194912439076,7.721177213087002e-09,-0.5946745562130178,lower,True,1.769436444665771e-08,target_stats,,ood_secondary,2.4593379271314155e-08
ood_Pocket2Mol_transfer_native_scaffold_unseen_train,dock_fast,pb_qed,pb_rc_select,20,0.7375,0.925,0.1875,0.1,0.275,0.0021721536873098,0.46,higher,True,0.0028444869714771,target_stats,,ood_secondary,0.0035924080213200534
ood_Pocket2Mol_transfer_native_scaffold_unseen_train,mol_fast,pb_qed,pb_rc_select,20,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,ood_secondary,1.0
