policy,attempted,scored,failures,vina_mean,vina_median,vina_p25,vina_p75,risk_mean,risk_gt_0_5,qed_mean,dock_pose_pass
pb_qed,50,50,0,-6.890200000000001,-7.1899999999999995,-8.40175,-6.19625,0.9958186979667768,1.0,0.7230060403310812,0.04
pb_qed_minus_risk,50,50,0,-6.887800000000001,-7.246499999999999,-8.39375,-6.2115,0.9958186979667768,1.0,0.7230060403310812,0.04
pb_rc_select,50,50,0,-6.87472,-7.2155000000000005,-8.386000000000001,-6.203749999999999,0.9958186979667768,1.0,0.7230060403310812,0.04
qed,50,50,0,-6.81418,-7.2115,-8.3775,-6.1565,0.9956787823221763,1.0,0.724355596194287,0.04
qed_minus_risk,50,50,0,-6.6395800000000005,-7.149,-8.308,-6.0715,0.9956787823221763,1.0,0.724355596194287,0.04
rc_select,50,50,0,-6.8165200000000015,-7.1285,-8.379249999999999,-6.1812499999999995,0.9956787823221763,1.0,0.724355596194287,0.04
