source,policy,n,targets,before_dock_fast,after_molfast,after_protein_pass,after_dock_fast,redock_rmsd_mean,redock_rmsd_median,cnnscore_mean,cnnaffinity_mean
BindingMOAD-Task1-strict35,pb_qed,140,35,0.22857142857142856,1.0,0.22857142857142856,0.22857142857142856,0.6926446178460028,0.5997226436404004,0.6766613235485716,3.975703869547857
BindingMOAD-Task1-strict35,pb_rc_select,140,35,0.2714285714285714,1.0,0.2714285714285714,0.2714285714285714,0.7138414792864372,0.6044147476155028,0.6725188206371429,3.9341148325385706
MolCRAFT-T100,pb_qed,400,100,0.995,1.0,0.995,0.995,0.8773528971217677,0.7717824182047526,0.79224638540475,5.6453925889745005
MolCRAFT-T100,pb_rc_select,400,100,0.9975,1.0,0.9975,0.9975,0.8401899435414657,0.7274388182702641,0.79584282230775,5.510163068770501
