policy,attempted,scored,failures,vina_mean,vina_median,vina_p25,vina_p75,risk_mean,risk_gt_0_5,qed_mean,dock_pose_pass
pb_qed,100,100,0,-8.051160000000001,-7.988999999999999,-9.1065,-6.96375,0.1393027073033571,0.11,0.7758873412195371,0.99
pb_rc_select,100,100,0,-7.87111,-7.884,-8.9965,-6.77975,0.06430706860892703,0.0,0.7594886544544649,1.0
