source,policy,attempted,redocked,success_rate,cnnscore_mean,cnnscore_median,cnnaffinity_mean,affinity_mean,dock_fast_pass,risk_gt_0_5,qed_mean
MolCRAFT-T100,pb_qed,400,400,1.0,0.79224638540475,0.81986692545,5.6453925889745005,-7.470740800000001,0.995,0.0775,0.6857413972402887
MolCRAFT-T100,pb_rc_select,400,400,1.0,0.79584282230775,0.832454443,5.510163068770501,-7.313540824999999,0.9975,0.0,0.6654482701873025
