policy,n,target_is_best,mean_margin,median_rank,mean_risk,risk_gt_0_5,mean_qed,dock_fast
plain_pb_rc_qed,12,0.25,-1.0258333333333336,3.5,0.0678243994067876,0.0,0.852644534689701,1.0
plain_pb_rc_lowrisk,12,0.25,-0.7860000000000001,6.0,0.018970875927124053,0.0,0.7660459507894793,1.0
selectivity_oracle,12,0.3333333333333333,-0.040499999999999835,4.0,0.08290209939832931,0.0,0.7263078983399751,1.0
selectivity_rc,12,0.3333333333333333,-0.040499999999999835,4.0,0.08290209939832931,0.0,0.7263078983399751,1.0
selectivity_utility,12,0.3333333333333333,-0.040499999999999835,4.0,0.08290209939832931,0.0,0.7263078983399751,1.0
