source,policy,n,targets,unique_smiles,solved_rate,top_score_mean,route_steps_mean,route_steps_median,precursors_in_stock_mean,precursors_total_mean,search_time_mean,risk_mean,risk_gt_0_5,qed_mean,dock_pose_pass
PocketFlow,pb_qed,82,82,82,0.5609756097560976,0.8739181703756097,2.841463414634146,2.0,2.597560975609756,3.048780487804878,9.561188537903659,0.5658792278210499,0.5487804878048781,0.7933709651423784,0.8658536585365854
PocketFlow,pb_rc_select,81,81,80,0.5432098765432098,0.8617300167160494,2.95,3.0,2.580246913580247,3.0617283950617282,10.272213052824691,0.29766379673294424,0.2345679012345679,0.7421221551957693,0.9876543209876543
PocketFlow,qed,84,84,84,0.44047619047619047,0.831737388020238,3.0843373493975905,3.0,2.6547619047619047,3.2261904761904763,11.018595107963094,0.5929607585051216,0.5952380952380952,0.8193706694433933,0.5714285714285714
PocketFlow,rc_select,81,81,81,0.4691358024691358,0.8436702345641977,3.1481481481481484,3.0,2.691358024691358,3.259259259259259,10.488832391341974,0.2292426712771419,0.12345679012345678,0.7484260353323501,0.7037037037037037
