policy,n,targets,risk_mean,risk_gt_0_5,qed_mean,molfast_core_pass,protein_pass,dock_pose_pass,intramol_pass
pb_qed,200,50,0.9989141273025507,1.0,0.6540160996986879,1.0,0.015,0.015,1.0
pb_qed_minus_risk,200,50,0.9847785716490342,0.985,0.6511798329322178,1.0,0.035,0.035,1.0
pb_rc_select,200,50,0.9847785716490342,0.985,0.6511798329322178,1.0,0.035,0.035,1.0
qed,200,50,0.998871544242618,1.0,0.6572540382135093,0.955,0.015,0.015,0.955
qed_minus_risk,200,50,0.9847355779669471,0.985,0.6542697176519121,0.955,0.035,0.035,0.955
rc_select,200,50,0.9847355779669471,0.985,0.6542697176519121,0.955,0.035,0.035,0.955
