source,policy,attempted,scored,success_rate,cnnscore_mean,cnnaffinity_mean,affinity_mean,dock_pose_pass,risk_gt_0_5,qed_mean
SYNC-Guide,pb_qed,50,50,1.0,0.6507478,5.5682068000000005,-6.67887,0.98,0.14,0.7174559654587078
SYNC-Guide,pb_qed_minus_risk,50,50,1.0,0.6296096,5.392170999999999,-6.531568400000001,1.0,0.08,0.7068085801335457
SYNC-Guide,pb_rc_select,50,50,1.0,0.6438875999999999,5.461489200000001,-6.625325800000001,1.0,0.06,0.7046188189803368
SYNC-Guide,qed,50,50,1.0,0.6436968000000001,5.576651000000001,-6.920383999999999,0.68,0.1,0.748599345942762
SYNC-Guide,qed_minus_risk,50,50,1.0,0.6340444,5.4451212,-6.950772199999999,0.66,0.0,0.7347998275441483
SYNC-Guide,rc_select,50,50,1.0,0.6349708,5.4453828,-6.958904999999999,0.64,0.0,0.7318294872759789
